patch_id,objective,files_changed,status,verification_note
001,Controller & Routes Data Pegawai - CRUD + stats + jabatan options,app/Http/Controllers/DataPegawaiCrmController.php; routes/web.php,done,8 CRM routes registered - list/stats/show/store/update/delete/jabatan-options
002,Blade view Data Pegawai - full CRUD with stats cards/table/modals/detail,resources/views/pegawai/index.blade.php,done,Blade compiles - stat cards/filter/sort/pagination/create-edit-delete-detail modals
003,Controller & Routes Absensi - dual CRUD (ubudiyah + harian CS) + stats + options,app/Http/Controllers/AbsensiCrmController.php; routes/web.php,done,16 routes registered - ubudiyah CRUD + harian CRUD + stats + options
004,Blade view Absensi - two tabs (ubudiyah + harian CS) with full CRUD per tab,resources/views/absensi/index.blade.php,done,Blade compiles - tab switch/filters/sort/pagination/create-edit-delete/photo preview
005,Sidebar links - Data Pegawai & Absensi from coming-soon to actual routes,resources/views/components/sidebar.blade.php,done,Active keys data-pegawai and absensi - highlight on visit
006,Route constraint fix - prevent {id} matching literal strings like list/stats,routes/web.php,done,Added ->where('id' '[0-9]+') to 3 data-pegawai {id} routes
007,CSS fix - rewrite pegawai view from @apply to plain CSS (wire:navigate compat),resources/views/pegawai/index.blade.php,done,All @apply removed - uses pg-* prefixed plain CSS classes - view compiles OK
008,CSS+stats fix - rewrite absensi view from @apply to plain CSS + tab buttons + stats total,resources/views/absensi/index.blade.php,done,All @apply removed - uses ab-* prefixed plain CSS - tab buttons styled properly - stats show both daily + total counts
009,Fix empty table - change template x-if to tr x-show for loading/empty states in tbody,resources/views/pegawai/index.blade.php; resources/views/absensi/index.blade.php,done,Root cause: template x-if siblings inside tbody cause Alpine DOM anchor conflict in wire:navigate SPA - fix: use x-show on plain tr elements (matches kwitansi pattern) - backend verified 200 w/ 38 records - views compile OK
010,Fix jabatan filter null bug causing empty table,app/Http/Controllers/DataPegawaiCrmController.php; resources/views/pegawai/index.blade.php,done,Root cause: $request->get('jabatan' '') returns null when browser sends jabatan= (empty) - null !== '' is true in PHP - caused WHERE id_jabatan = 0 filtering all records. Fix: use explicit null+empty check and cast string params. Debug panel added then removed after confirmation. Views compile OK
